Ra, Rb
0.421989, 0.102712
0.423444, 0.102889
0.424899, 0.103065
0.426354, 0.103242
0.427810, 0.103418
0.429265, 0.103594
0.430720, 0.103769
0.432175, 0.103944
0.433630, 0.104119
0.435085, 0.104293
0.436540, 0.104468
0.437996, 0.104642
0.439451, 0.104815
0.440906, 0.104989
0.442361, 0.105162
0.443816, 0.105335
0.445271, 0.105507
0.446726, 0.105680
0.448182, 0.105851
0.449637, 0.106023
0.451092, 0.106195
0.452547, 0.106366
0.454002, 0.106537
0.455457, 0.106707
0.456912, 0.106878
0.458367, 0.107048
0.459823, 0.107217
0.461278, 0.107387
0.462733, 0.107556
0.464188, 0.107725
0.465643, 0.107894
0.467098, 0.108062
0.468553, 0.108230
0.470009, 0.108398
0.471464, 0.108566
0.472919, 0.108733
0.474374, 0.108901
0.475829, 0.109068
0.477284, 0.109234
0.478739, 0.109401
0.480194, 0.109567
0.481650, 0.109733
0.483105, 0.109898
0.484560, 0.110064
0.486015, 0.110229
0.487470, 0.110394
0.488925, 0.110558
0.490380, 0.110723
0.491836, 0.110887
0.493291, 0.111051
0.494746, 0.111214
0.496201, 0.111378
0.497656, 0.111541
0.499111, 0.111704
0.500566, 0.111867
0.502021, 0.112029
0.503477, 0.112191
0.504932, 0.112353
0.506387, 0.112515
0.507842, 0.112677
0.509297, 0.112838
0.510752, 0.112999
0.512207, 0.113160
0.513663, 0.113321
0.515118, 0.113481
0.516573, 0.113641
0.518028, 0.113801
0.519483, 0.113961
0.520938, 0.114120
0.522393, 0.114280
0.523849, 0.114439
0.525304, 0.114598
0.526759, 0.114756
0.528214, 0.114915
0.529669, 0.115073
0.531124, 0.115231
0.532579, 0.115388
0.534034, 0.115546
0.535490, 0.115703
0.536945, 0.115860
0.538400, 0.116017
0.539855, 0.116174
0.541310, 0.116330
0.542765, 0.116487
0.544220, 0.116643
0.545676, 0.116798
0.547131, 0.116954
0.548586, 0.117110
0.550041, 0.117265
0.551496, 0.117420
0.552951, 0.117575
0.554406, 0.117729
0.555861, 0.117884
0.557317, 0.118038
0.558772, 0.118192
0.560227, 0.118346
0.561682, 0.118499
0.563137, 0.118653
0.564592, 0.118806
0.566047, 0.118959
0.567503, 0.119112
0.568958, 0.119264
0.570413, 0.119417
0.571868, 0.119569
0.573323, 0.119721
0.574778, 0.119873
0.576233, 0.120024
0.577689, 0.120176
0.579144, 0.120327
0.580599, 0.120478
0.582054, 0.120629
0.583509, 0.120780
0.584964, 0.120930
0.586419, 0.121080
0.587874, 0.121231
0.589330, 0.121381
0.590785, 0.121530
0.592240, 0.121680
0.593695, 0.121829
0.595150, 0.121978
0.596605, 0.122128
0.598060, 0.122276
0.599516, 0.122425
0.600971, 0.122574
0.602426, 0.122722
0.603881, 0.122870
0.605336, 0.123018
0.606791, 0.123166
0.608246, 0.123313
0.609701, 0.123461
0.611157, 0.123608
0.612612, 0.123755
0.614067, 0.123902
0.615522, 0.124049
0.616977, 0.124195
0.618432, 0.124341
0.619887, 0.124488
0.621343, 0.124634
0.622798, 0.124780
0.624253, 0.124925
0.625708, 0.125071
0.627163, 0.125216
0.628618, 0.125361
0.630073, 0.125506
0.631528, 0.125651
0.632984, 0.125796
0.634439, 0.125940
0.635894, 0.126085
0.637349, 0.126229
0.638804, 0.126373
0.640259, 0.126517
0.641714, 0.126660
0.643170, 0.126804
0.644625, 0.126947
0.646080, 0.127091
0.647535, 0.127234
0.648990, 0.127376
0.650445, 0.127519
0.651900, 0.127662
0.653356, 0.127804
0.654811, 0.127946
0.656266, 0.128088
0.657721, 0.128230
0.659176, 0.128372
0.660631, 0.128514
0.662086, 0.128655
0.663541, 0.128796
0.664997, 0.128938
0.666452, 0.129079
0.667907, 0.129219
0.669362, 0.129360
0.670817, 0.129501
0.672272, 0.129641
0.673727, 0.129781
0.675183, 0.129921
0.676638, 0.130061
0.678093, 0.130201
0.679548, 0.130341
0.681003, 0.130480
0.682458, 0.130620
0.683913, 0.130759
0.685368, 0.130898
0.686824, 0.131037
0.688279, 0.131175
0.689734, 0.131314
0.691189, 0.131452
0.692644, 0.131591
0.694099, 0.131729
0.695554, 0.131867
0.697010, 0.132005
0.698465, 0.132142
0.699920, 0.132280
0.701375, 0.132417
0.702830, 0.132555
0.704285, 0.132692
0.705740, 0.132829
0.707196, 0.132966
0.708651, 0.133102
0.710106, 0.133239
0.711561, 0.133375
0.713016, 0.133512
0.714471, 0.133648
0.715926, 0.133784
0.717381, 0.133920
0.718837, 0.134056
0.720292, 0.134191
0.721747, 0.134327
0.723202, 0.134462
0.724657, 0.134597
0.726112, 0.134732
0.727567, 0.134867
0.729023, 0.135002
0.730478, 0.135137
