rx, ry, vx, vy
-0.126774, -0.518140, -0.126774, -0.518140
8.760933, -2.071729, 1.066028, -1.682068
-6.018943, 12.343218, 1.020931, 1.374495
-8.351580, 0.920565, 1.099572, 0.352569
-1.172767, -14.208936, -0.446291, -0.162562
-10.455473, 9.465247, -0.500361, -0.511930
-2.123859, -14.874777, 0.712030, -2.013772
3.368939, -7.378731, -1.847359, 0.493130
0.873650, 7.065449, 0.033419, 0.985148
6.411215, -5.897651, -0.412248, -1.011539
-12.780145, 7.052614, -2.174916, 0.646655
4.506642, -3.362811, 0.459042, -0.150727
3.461985, 12.777179, -0.179105, 0.108938
-13.475564, -2.094358, -0.628971, 0.028516
-8.040153, 2.274417, -0.219808, 0.867298
11.187146, 10.984070, -0.648823, 0.330550
-3.191965, -5.779703, 0.756243, 2.030712
2.127052, -10.390514, 1.575029, 0.092314
0.384331, -7.751576, -0.283925, -1.524713
-2.378475, -2.224456, 0.398565, -0.153738
-11.967399, 3.507073, 1.046227, 0.448972
9.904353, -9.493646, 1.225873, 0.968439
-1.327418, 9.616776, -1.586748, -0.170141
6.748012, 3.591193, -0.987584, -1.188999
1.366922, -8.701483, -1.515048, -1.536301
-0.897627, -5.670445, -0.217600, 1.069572
7.994703, 3.623863, -1.061968, -0.074609
14.809038, 6.160732, 0.784386, 0.066124
8.691015, 13.383928, 0.374621, 0.028335
10.532760, 2.949526, -0.230675, 0.812922
11.455411, 7.425785, -0.871561, -1.315817
-1.348030, 10.838380, 2.341554, 0.414515
-14.030545, 10.539609, -0.976857, -0.135797
-14.247497, -10.455092, -0.665426, -0.293669
14.185585, 3.607607, 0.271116, 0.984525
6.862845, 6.424028, 2.436754, -0.235522
-8.982510, 0.633386, -0.945415, 1.438397
8.745682, -11.762003, 0.441504, 0.157201
-3.707690, 5.700741, 0.396296, -0.257524
-1.541845, -13.913304, 0.088270, -0.761762
6.985960, 8.552757, -0.927559, -0.152779
-5.362257, -12.285017, 1.450446, -0.484497
-6.627826, 8.484899, 1.125946, -0.669009
-3.438143, -1.293038, -0.011961, -1.733805
11.911467, 2.922048, -0.168807, 1.455387
6.635169, -0.509171, 0.032798, -0.477934
-5.152198, -2.059388, -0.140944, -0.277424
-0.676461, 0.071036, 1.651450, 0.517294
12.413798, -6.552224, -1.170489, 0.125264
2.829646, 10.648871, 1.129370, -0.665223
-4.937540, -5.193209, 1.565935, -0.650576
-13.976515, -6.830898, -0.450318, -0.204895
12.565474, -4.610398, -0.239013, 0.483823
8.719359, 12.900783, -0.749109, 0.093311
12.742836, 3.650217, -0.473513, -0.179232
9.854026, -13.422055, 0.888476, -0.450561
7.911253, -1.789633, 0.634162, 0.236808
-11.336694, -3.243983, 0.013506, 0.313424
-13.853483, 13.073159, -0.693591, -0.177611
-8.100222, -6.852627, 0.599263, 0.755397
5.840950, 2.945140, 0.218585, 1.102081
3.449970, -5.104693, -0.938510, 0.291825
4.308878, -9.180740, -0.348771, 0.359560
2.088716, 10.273787, -0.712243, -0.799255
-4.377958, -3.829302, 0.322920, 0.868715
7.913213, 7.506968, -0.708302, 0.717984
3.775576, -9.371177, 0.294148, 0.671463
11.261874, -3.551457, 0.757151, -1.221831
10.111531, 9.938757, -0.054750, 0.384695
0.751725, 2.632187, -0.543531, 0.334750
-13.094728, -6.385500, -0.966107, -1.681149
-13.039354, -12.731031, -0.550803, -0.318397
1.738416, 4.791366, -0.084416, 0.251185
-8.488903, -12.744799, 0.580217, -0.113792
-1.695770, -2.534008, 0.595177, 1.468621
11.135777, -9.231068, -1.117434, -0.407366
-12.737041, 2.731707, 0.346471, 0.825381
12.254814, -9.909859, -0.498403, 0.312123
8.267609, -4.032332, -0.589853, -1.729571
-8.528137, -5.545799, -0.067595, 0.825814
