Ta, Tb
0.929587, 1.152270
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
0.929587, 1.152269
