Ra, Rb
1.087154, 0.164860
1.090906, 0.165144
1.094658, 0.165428
1.098410, 0.165711
1.102162, 0.165994
1.105914, 0.166276
1.109666, 0.166558
1.113419, 0.166840
1.117171, 0.167121
1.120923, 0.167401
1.124675, 0.167681
1.128427, 0.167960
1.132179, 0.168239
1.135931, 0.168518
1.139684, 0.168796
1.143436, 0.169074
1.147188, 0.169351
1.150940, 0.169628
1.154692, 0.169904
1.158443, 0.170180
1.162195, 0.170455
1.165947, 0.170730
1.169699, 0.171004
1.173450, 0.171278
1.177202, 0.171552
1.180953, 0.171825
1.184704, 0.172098
1.188455, 0.172370
1.192206, 0.172642
1.195957, 0.172913
1.199708, 0.173184
1.203458, 0.173454
1.207209, 0.173725
1.210959, 0.173994
1.214708, 0.174263
1.218458, 0.174532
1.222207, 0.174800
1.225956, 0.175068
1.229705, 0.175336
1.233454, 0.175603
1.237202, 0.175869
1.240949, 0.176136
1.244697, 0.176401
1.248443, 0.176667
1.252190, 0.176931
1.255936, 0.177196
1.259681, 0.177460
1.263426, 0.177724
1.267171, 0.177987
1.270915, 0.178249
1.274658, 0.178512
1.278401, 0.178774
1.282143, 0.179035
1.285884, 0.179296
1.289625, 0.179557
1.293365, 0.179817
1.297104, 0.180077
1.300842, 0.180336
1.304580, 0.180595
1.308317, 0.180853
1.312053, 0.181111
1.315788, 0.181369
1.319522, 0.181626
1.323255, 0.181883
1.326987, 0.182139
1.330719, 0.182395
1.334449, 0.182651
1.338178, 0.182906
1.341907, 0.183160
1.345634, 0.183414
1.349361, 0.183668
1.353086, 0.183922
1.356810, 0.184175
1.360534, 0.184427
1.364256, 0.184679
1.367978, 0.184931
1.371699, 0.185182
1.375418, 0.185433
1.379137, 0.185684
1.382855, 0.185934
1.386572, 0.186184
1.390288, 0.186433
1.394003, 0.186682
1.397718, 0.186930
1.401432, 0.187178
1.405145, 0.187426
1.408857, 0.187674
1.412568, 0.187921
1.416279, 0.188167
1.419990, 0.188414
1.423699, 0.188660
1.427409, 0.188905
1.431117, 0.189151
1.434825, 0.189395
1.438533, 0.189640
1.442240, 0.189884
1.445947, 0.190128
1.449654, 0.190372
1.453360, 0.190615
1.457066, 0.190858
1.460771, 0.191100
1.464476, 0.191342
1.468181, 0.191584
1.471886, 0.191826
1.475591, 0.192067
1.479295, 0.192308
1.482999, 0.192549
1.486704, 0.192789
1.490408, 0.193029
1.494111, 0.193269
1.497815, 0.193508
1.501519, 0.193747
1.505223, 0.193986
1.508926, 0.194225
1.512630, 0.194463
1.516333, 0.194701
1.520037, 0.194938
1.523741, 0.195176
1.527444, 0.195413
1.531148, 0.195649
1.534851, 0.195886
1.538555, 0.196122
1.542259, 0.196358
1.545963, 0.196594
1.549666, 0.196829
1.553370, 0.197064
1.557074, 0.197299
1.560778, 0.197533
1.564482, 0.197768
1.568187, 0.198002
1.571891, 0.198235
1.575595, 0.198469
1.579300, 0.198702
1.583004, 0.198935
1.586709, 0.199168
1.590414, 0.199400
1.594119, 0.199632
1.597824, 0.199864
1.601529, 0.200096
1.605234, 0.200327
1.608939, 0.200558
1.612645, 0.200789
1.616350, 0.201019
1.620056, 0.201250
1.623762, 0.201480
1.627468, 0.201709
1.631173, 0.201939
1.634880, 0.202168
1.638586, 0.202397
1.642292, 0.202626
1.645999, 0.202855
1.649705, 0.203083
1.653412, 0.203311
1.657119, 0.203539
1.660826, 0.203766
1.664533, 0.203993
1.668240, 0.204220
1.671947, 0.204447
1.675654, 0.204674
1.679362, 0.204900
1.683069, 0.205126
1.686777, 0.205352
1.690485, 0.205578
1.694193, 0.205803
1.697901, 0.206028
1.701609, 0.206253
1.705317, 0.206477
1.709026, 0.206702
1.712734, 0.206926
1.716443, 0.207150
1.720151, 0.207374
1.723860, 0.207597
1.727569, 0.207820
1.731278, 0.208043
1.734987, 0.208266
1.738696, 0.208488
1.742405, 0.208711
1.746115, 0.208933
1.749824, 0.209155
1.753534, 0.209376
1.757244, 0.209597
1.760953, 0.209819
1.764663, 0.210039
1.768373, 0.210260
1.772083, 0.210481
1.775793, 0.210701
1.779504, 0.210921
1.783214, 0.211141
1.786925, 0.211360
1.790635, 0.211579
1.794346, 0.211799
1.798056, 0.212017
1.801767, 0.212236
1.805478, 0.212455
1.809189, 0.212673
1.812900, 0.212891
1.816611, 0.213109
1.820322, 0.213326
1.824034, 0.213544
1.827745, 0.213761
1.831457, 0.213978
1.835168, 0.214194
1.838880, 0.214411
1.842591, 0.214627
1.846303, 0.214843
1.850015, 0.215059
1.853727, 0.215275
1.857439, 0.215490
1.861151, 0.215705
1.864863, 0.215920
1.868576, 0.216135
1.872288, 0.216350
1.876000, 0.216564
1.879713, 0.216778
1.883425, 0.216992
1.887138, 0.217206
1.890851, 0.217420
1.894563, 0.217633
1.898276, 0.217846
1.901989, 0.218059
1.905702, 0.218272
1.909415, 0.218484
1.913128, 0.218697
1.916841, 0.218909
1.920555, 0.219121
1.924268, 0.219332
1.927981, 0.219544
1.931695, 0.219755
1.935408, 0.219966
1.939122, 0.220177
1.942835, 0.220388
1.946549, 0.220599
1.950263, 0.220809
1.953977, 0.221019
1.957691, 0.221229
1.961405, 0.221439
1.965119, 0.221648
1.968833, 0.221858
1.972547, 0.222067
1.976261, 0.222276
1.979975, 0.222485
1.983689, 0.222693
1.987404, 0.222902
1.991118, 0.223110
1.994833, 0.223318
1.998547, 0.223526
2.002262, 0.223733
2.005976, 0.223941
2.009691, 0.224148
2.013406, 0.224355
2.017121, 0.224562
2.020835, 0.224769
2.024550, 0.224975
2.028265, 0.225181
2.031980, 0.225387
2.035695, 0.225593
2.039411, 0.225799
2.043126, 0.226005
2.046841, 0.226210
2.050556, 0.226415
2.054272, 0.226620
2.057987, 0.226825
2.061702, 0.227030
2.065418, 0.227234
2.069133, 0.227439
2.072849, 0.227643
2.076565, 0.227847
2.080280, 0.228050
2.083996, 0.228254
2.087712, 0.228457
2.091428, 0.228661
2.095143, 0.228864
2.098859, 0.229067
2.102575, 0.229269
2.106291, 0.229472
2.110007, 0.229674
2.113723, 0.229876
2.117440, 0.230078
2.121156, 0.230280
2.124872, 0.230482
2.128588, 0.230683
2.132305, 0.230884
2.136021, 0.231086
2.139737, 0.231286
2.143454, 0.231487
2.147170, 0.231688
2.150887, 0.231888
2.154603, 0.232089
2.158320, 0.232289
2.162037, 0.232489
2.165753, 0.232688
2.169470, 0.232888
2.173187, 0.233087
2.176904, 0.233287
2.180621, 0.233486
2.184338, 0.233684
2.188055, 0.233883
2.191772, 0.234082
2.195489, 0.234280
2.199206, 0.234478
2.202923, 0.234677
2.206640, 0.234874
2.210357, 0.235072
2.214074, 0.235270
2.217792, 0.235467
2.221509, 0.235664
2.225226, 0.235862
2.228944, 0.236058
2.232661, 0.236255
2.236378, 0.236452
2.240096, 0.236648
2.243813, 0.236845
2.247531, 0.237041
2.251249, 0.237237
2.254966, 0.237432
2.258684, 0.237628
2.262402, 0.237824
2.266119, 0.238019
2.269837, 0.238214
2.273555, 0.238409
2.277273, 0.238604
2.280991, 0.238799
2.284709, 0.238993
2.288427, 0.239188
2.292145, 0.239382
2.295863, 0.239576
2.299581, 0.239770
2.303299, 0.239963
2.307017, 0.240157
2.310735, 0.240351
2.314454, 0.240544
2.318172, 0.240737
2.321890, 0.240930
2.325608, 0.241123
2.329327, 0.241315
2.333045, 0.241508
2.336764, 0.241700
2.340482, 0.241893
2.344201, 0.242085
2.347919, 0.242277
2.351638, 0.242468
2.355356, 0.242660
2.359075, 0.242852
2.362794, 0.243043
2.366512, 0.243234
2.370231, 0.243425
2.373950, 0.243616
2.377669, 0.243807
2.381387, 0.243997
2.385106, 0.244188
2.388825, 0.244378
2.392544, 0.244568
2.396263, 0.244758
2.399982, 0.244948
2.403701, 0.245138
2.407420, 0.245327
2.411139, 0.245517
2.414858, 0.245706
2.418577, 0.245895
2.422297, 0.246084
2.426016, 0.246273
2.429735, 0.246462
2.433454, 0.246650
2.437174, 0.246839
2.440893, 0.247027
2.444612, 0.247215
2.448332, 0.247403
2.452051, 0.247591
2.455771, 0.247779
2.459490, 0.247966
2.463210, 0.248154
2.466929, 0.248341
2.470649, 0.248528
2.474368, 0.248715
2.478088, 0.248902
2.481808, 0.249089
2.485527, 0.249275
2.489247, 0.249462
2.492967, 0.249648
2.496687, 0.249834
2.500407, 0.250020
2.504126, 0.250206
2.507846, 0.250392
2.511566, 0.250578
2.515286, 0.250763
2.519006, 0.250949
2.522726, 0.251134
2.526446, 0.251319
2.530166, 0.251504
2.533886, 0.251689
2.537607, 0.251873
2.541327, 0.252058
2.545047, 0.252242
2.548767, 0.252427
2.552487, 0.252611
2.556208, 0.252795
2.559928, 0.252979
2.563648, 0.253162
2.567369, 0.253346
2.571089, 0.253530
2.574810, 0.253713
2.578530, 0.253896
2.582251, 0.254079
2.585971, 0.254262
2.589692, 0.254445
2.593412, 0.254628
2.597133, 0.254810
2.600854, 0.254993
2.604574, 0.255175
2.608295, 0.255357
2.612016, 0.255539
2.615736, 0.255721
2.619457, 0.255903
2.623178, 0.256085
2.626899, 0.256266
2.630620, 0.256448
2.634341, 0.256629
2.638062, 0.256810
2.641783, 0.256991
2.645504, 0.257172
2.649225, 0.257353
2.652946, 0.257534
2.656667, 0.257714
2.660388, 0.257895
2.664109, 0.258075
2.667830, 0.258255
