rx, ry, vx, vy
0.000000, 0.000000, 2.107989, -0.717801
0.698126, 1.725437, -0.033215, 0.807499
1.216918, -2.989993, 0.502428, 0.470559
-1.470813, 4.430006, -0.848275, -0.357469
2.068192, -4.205668, 0.088621, -1.141228
4.683797, -5.449997, 0.441166, 2.756110
-3.746739, 2.094892, 0.624937, 0.890702
-1.126969, 2.627929, -1.253849, 1.519724
6.195634, 3.658223, 0.650634, 0.240188
-1.634123, -1.279312, -0.788743, -0.630100
-6.048794, -6.240050, 0.680366, -0.690669
-5.986075, 3.847455, -0.546014, -0.582705
-2.943434, -5.624988, 0.868027, -0.776483
3.505806, 5.172317, -1.369607, 0.092247
-2.114148, 3.500187, -1.050385, -0.148958
-0.641753, -1.695114, -1.544258, -0.264566
-2.402289, 2.318916, 0.476974, 1.075178
3.654502, -5.463959, 2.496415, -3.361127
0.824112, -1.962343, -0.705466, 1.314914
3.596925, -1.208608, -0.972554, 0.474968
2.337414, -5.598978, 0.268625, -0.718714
2.983866, 0.385051, -0.024830, 0.004274
-1.734227, 0.053399, 0.906101, 0.231229
-3.428267, -2.996363, -0.275386, -1.097043
-2.907498, -0.316330, 1.207751, 0.706767
2.707180, 2.521250, -1.665158, -1.685320
-0.148540, 5.436450, -0.315363, 0.745274
-6.321711, 1.233182, -0.393989, 0.353787
2.600905, -0.864960, -0.771632, 0.543717
-1.725357, -5.565401, -0.581405, 0.491375
4.862619, -2.841884, -0.969252, 0.995905
5.109637, 4.290304, -0.055884, -1.203745
5.007896, 1.595879, 0.735458, 1.579144
-2.882996, -4.085650, -0.568189, -1.510553
0.816409, -0.595021, -1.065772, 0.557236
5.272073, 2.626652, 1.091251, -1.123559
-2.607812, -2.339616, 0.729659, -1.252911
-3.348096, 3.843684, 0.366605, 1.387485
-2.594540, 4.623872, 0.263396, 0.739079
-0.593648, -3.668165, 1.292824, -0.714411
-5.110519, 4.571928, -0.609186, -0.657453
5.172728, -4.169814, 0.080174, -0.794195
-4.200584, -2.169435, -0.574992, -1.161562
-4.905300, 5.743849, -1.076878, 0.597623
-3.571071, 5.288935, -0.800359, -0.589183
3.652486, 2.008437, 1.272330, 1.049919
6.159365, -1.102263, -0.319310, -0.289228
3.575220, -3.622732, -0.243462, 0.087179
-0.053189, 4.402473, 0.338409, 0.402587
-5.326261, 2.968775, -0.067693, -0.177996
2.172136, -2.547101, 0.350919, -0.214836
0.896167, 3.171666, -0.142078, 0.034896
5.813747, -5.610548, 0.044824, -0.428956
3.958026, 0.964398, 0.609785, -0.291783
-4.663537, -5.637774, 1.031974, 0.047694
5.627313, 5.772887, 1.197157, -0.515198
-6.287885, -3.584049, 0.083663, 0.477681
-3.951047, -1.146420, -0.416429, 0.641706
-1.479555, -3.040909, -1.234968, -0.629163
0.891859, 6.180306, -0.045134, -0.084087
-3.007966, 6.187860, -0.125611, 0.722165
-5.971340, -5.156222, -0.624425, -0.932998
-1.630093, 5.828453, 0.073971, -0.915030
-5.187236, 1.177957, 0.221036, 1.108089
1.972516, 6.145019, 1.008765, 0.211484
-5.750349, -2.699218, -0.636626, 0.360207
6.128733, 1.962364, 0.150342, 0.507970
2.547368, 4.368876, 1.436351, 0.049248
0.555912, -5.312076, 0.819946, 0.464054
-4.324422, -4.204867, -1.439439, 0.621727
-5.362199, -0.531987, 0.035622, 1.194569
-6.031441, 0.026992, -0.622010, 1.115966
6.026251, 0.446486, 0.312264, -0.328239
0.598435, -3.952656, 1.295364, -0.735196
1.106144, -6.232175, 0.552076, -0.981291
5.004779, -0.001513, -0.369780, -0.406833
1.967466, 0.155488, -0.546495, -0.095184
-2.605111, 1.329293, -0.390168, -0.017833
1.436619, 4.158964, 0.190393, 0.658633
1.755528, 1.506085, -0.820323, -0.107153
