rx, ry, vx, vy
8.487137, -2.686020, 2.122134, -0.671915
0.522325, 4.664584, -0.043919, 0.730704
3.214394, -1.002094, 0.498988, 0.501467
-4.863914, 3.000130, -0.848275, -0.357469
2.461221, -8.773101, 0.098991, -1.141810
6.409915, 5.576966, 0.430796, 2.756693
-0.950974, 5.893501, 0.650460, 0.993379
-6.438379, 8.471025, -1.279372, 1.417047
8.798169, 4.618975, 0.650634, 0.240188
-4.789097, -3.799714, -0.788743, -0.630100
-3.327328, -9.002793, 0.680366, -0.690686
-8.170133, 1.516702, -0.546015, -0.582688
0.528673, -8.730920, 0.868027, -0.776483
-1.972623, 5.541306, -1.369607, 0.092247
-6.315689, 2.904356, -1.050385, -0.148958
-6.818784, -2.753377, -1.544258, -0.264566
-0.494392, 6.619629, 0.476974, 1.075178
13.640162, -18.908466, 2.496415, -3.361127
-1.677912, 3.202409, -0.547416, 1.232371
-0.613130, 0.786167, -1.130604, 0.557511
3.411913, -8.473833, 0.268625, -0.718714
3.029071, 0.251164, 0.841491, -0.453403
1.745653, 1.129296, 0.039780, 0.688905
-4.528139, -7.376837, -0.274962, -1.095090
2.964463, 0.462304, 1.618095, -0.208304
-4.996080, -2.179296, -2.075926, -0.772202
-1.409991, 8.417548, -0.315363, 0.745274
-7.897668, 2.648331, -0.393989, 0.353787
-0.485625, 1.309910, -0.771632, 0.543717
-4.050977, -3.599900, -0.581405, 0.491375
0.985610, 1.141735, -0.969252, 0.995905
1.796281, 6.263503, -0.963221, 0.812145
11.039550, 1.124276, 1.642796, -0.436746
-5.155752, -10.127860, -0.568189, -1.510553
-3.446680, 1.633922, -1.065772, 0.557236
9.637078, -1.867584, 1.091251, -1.123559
0.310823, -7.351261, 0.729659, -1.252911
-2.199713, 8.723606, 0.150854, 1.351727
-1.222923, 8.250205, 0.479147, 0.774836
4.577648, -6.525808, 1.292824, -0.714411
-7.547261, 1.942115, -0.609186, -0.657453
5.493426, -7.346596, 0.080174, -0.794195
-6.500551, -6.815681, -0.574992, -1.161562
-7.991895, 7.285256, -0.730471, 0.333231
-7.993426, 3.781289, -1.146766, -0.324790
8.741805, 6.208113, 1.272330, 1.049919
4.867125, -2.268302, -0.339344, -0.300299
2.616372, -3.264885, -0.223428, 0.098251
1.300448, 6.012821, 0.338409, 0.402587
-5.597033, 2.256790, -0.067693, -0.177996
3.575812, -3.406446, 0.350919, -0.214836
0.327856, 3.311249, -0.142078, 0.034896
5.993044, -7.326371, 0.044824, -0.428956
6.397167, -0.202735, 0.609785, -0.291783
-0.535680, -5.446988, 1.031964, 0.047696
10.415962, 3.712107, 1.197162, -0.515195
-5.953217, -1.673349, 0.083667, 0.477675
-5.616762, 1.420402, -0.416429, 0.641706
-6.419428, -5.557562, -1.234968, -0.629163
0.711323, 5.843959, -0.045134, -0.084087
-3.510410, 9.076520, -0.125611, 0.722165
-8.469039, -8.888215, -0.624425, -0.932998
-1.334208, 2.168334, 0.073971, -0.915030
-4.303091, 5.610314, 0.221036, 1.108089
6.007577, 6.990957, 1.008765, 0.211484
-8.296855, -1.258392, -0.636626, 0.360207
6.675464, 3.217490, 0.193071, -0.050164
8.347408, 5.342622, 1.393622, 0.607382
3.835695, -3.455859, 0.819946, 0.464054
-10.082179, -1.717959, -1.439439, 0.621727
2.614666, -2.219227, 1.999429, -0.426207
-13.983570, 9.275167, -1.993245, 2.316441
4.905020, 0.814733, -0.280308, 0.092062
5.778827, -7.019837, 1.293676, -0.775293
3.315512, -10.030940, 0.553765, -0.941193
3.525661, -1.628845, -0.369780, -0.406833
-0.218516, -0.225247, -0.546495, -0.095184
-4.165782, 1.257963, -0.390168, -0.017833
2.198864, 6.778952, 0.190564, 0.654810
-1.526440, 1.092015, -0.820494, -0.103330
