rx, ry, vx, vy
19.097806, -6.045594, 2.122134, -0.671915
0.302730, 8.318106, -0.043919, 0.730704
5.709334, 1.505240, 0.498988, 0.501467
-9.105290, 1.212785, -0.848275, -0.357469
2.956178, -14.482153, 0.098991, -1.141810
8.563894, 19.360431, 0.430796, 2.756693
2.301328, 10.860398, 0.650460, 0.993379
-12.835236, 15.556258, -1.279372, 1.417047
12.051337, 5.819916, 0.650634, 0.240188
-8.732814, -6.950216, -0.788743, -0.630100
0.074504, -12.456220, 0.680366, -0.690686
-10.900206, -1.396739, -0.546015, -0.582688
4.868806, -12.613335, 0.868027, -0.776483
-8.820660, 6.002543, -1.369607, 0.092247
-11.567616, 2.159567, -1.050385, -0.148958
-14.540073, -4.076205, -1.544258, -0.264566
1.890480, 11.995520, 0.476974, 1.075178
26.122237, -35.714101, 2.496415, -3.361127
-4.394102, 9.301626, -0.542974, 1.218920
-6.287038, 3.636359, -1.135046, 0.570962
4.755036, -12.067401, 0.268625, -0.718714
6.369248, -1.339195, 0.657950, -0.309233
2.811832, 3.897168, 0.223322, 0.544736
-5.902947, -12.852289, -0.274962, -1.095090
11.054938, -0.579216, 1.618095, -0.208304
-15.375710, -6.040307, -2.075926, -0.772202
-2.986804, 12.143920, -0.315363, 0.745274
-9.867614, 4.417268, -0.393989, 0.353787
-4.343787, 4.028497, -0.771632, 0.543717
-6.958003, -1.143023, -0.581405, 0.491375
-3.860651, 6.121259, -0.969252, 0.995905
-3.019825, 10.324227, -0.963221, 0.812145
19.253529, -1.059455, 1.642796, -0.436746
-7.996696, -17.680623, -0.568189, -1.510553
-8.775542, 4.420100, -1.065772, 0.557236
15.093335, -7.485378, 1.091251, -1.123559
3.959116, -13.615818, 0.729659, -1.252911
0.100255, 14.311675, 0.329823, 0.663883
-0.372889, 13.294953, 0.300177, 1.462680
11.041768, -10.097861, 1.292824, -0.714411
-10.593188, -1.345150, -0.609186, -0.657453
5.894298, -11.317573, 0.080174, -0.794195
-9.375509, -12.623489, -0.574992, -1.161562
-11.644250, 8.951409, -0.730471, 0.333231
-13.727259, 2.157337, -1.146766, -0.324790
15.103454, 11.457707, 1.272330, 1.049919
2.933301, -4.101280, -0.344627, -0.339823
1.736337, -2.442148, -0.218145, 0.137775
2.992495, 8.025757, 0.338409, 0.402587
-5.935498, 1.366808, -0.067693, -0.177996
5.330407, -4.480628, 0.350919, -0.214836
-0.382533, 3.485728, -0.142078, 0.034896
6.217166, -9.471150, 0.044824, -0.428956
9.446094, -1.661651, 0.609785, -0.291783
4.624141, -5.208506, 1.031964, 0.047696
16.401773, 1.136132, 1.197162, -0.515195
-5.534883, 0.715026, 0.083667, 0.477675
-7.698907, 4.628931, -0.416429, 0.641706
-12.594270, -8.703378, -1.234968, -0.629163
0.485652, 5.423526, -0.045134, -0.084087
-4.138464, 12.687345, -0.125611, 0.722165
-11.591162, -13.553208, -0.624425, -0.932998
-0.964351, -2.406814, 0.073971, -0.915030
-3.197909, 11.150761, 0.221036, 1.108089
11.051403, 8.048379, 1.008765, 0.211484
-11.479986, 0.542641, -0.636626, 0.360207
7.646604, 2.973741, 0.194253, -0.048720
15.309732, 8.372459, 1.392440, 0.605938
7.935423, -1.135587, 0.819946, 0.464054
-17.279375, 1.390676, -1.439439, 0.621727
12.611812, -4.350264, 1.999429, -0.426207
-23.949797, 20.857373, -1.993245, 2.316441
3.503481, 1.275042, -0.280308, 0.092062
12.247206, -10.896303, 1.293676, -0.775293
6.084335, -14.736907, 0.553765, -0.941193
1.676763, -3.663010, -0.369780, -0.406833
-2.950992, -0.701167, -0.546495, -0.095184
-6.116622, 1.168799, -0.390168, -0.017833
3.151682, 10.053001, 0.190564, 0.654810
-5.628912, 0.575364, -0.820494, -0.103330
