rx, ry, vx, vy
10.609270, -3.357935, 2.122134, -0.671915
0.478406, 5.395288, -0.043919, 0.730704
3.713382, -0.500627, 0.498988, 0.501467
-5.712189, 2.642661, -0.848275, -0.357469
2.560213, -9.914911, 0.098991, -1.141810
6.840711, 8.333659, 0.430796, 2.756693
-0.300514, 6.886881, 0.650460, 0.993379
-7.717750, 9.888071, -1.279372, 1.417047
9.448802, 4.859163, 0.650634, 0.240188
-5.577840, -4.429815, -0.788743, -0.630100
-2.646961, -9.693478, 0.680366, -0.690686
-8.716148, 0.934014, -0.546015, -0.582688
1.396700, -9.507403, 0.868027, -0.776483
-3.342231, 5.633554, -1.369607, 0.092247
-7.366074, 2.755398, -1.050385, -0.148958
-8.363042, -3.017943, -1.544258, -0.264566
-0.017417, 7.694807, 0.476974, 1.075178
16.136577, -22.269593, 2.496415, -3.361127
-2.222206, 4.425946, -0.542974, 1.218920
-1.746855, 1.352512, -1.135046, 0.570962
3.680538, -9.192547, 0.268625, -0.718714
3.736267, -0.101008, 0.664196, -0.315741
1.919728, 1.716971, 0.217075, 0.551243
-4.803100, -8.471927, -0.274962, -1.095090
4.582558, 0.254000, 1.618095, -0.208304
-7.072006, -2.951499, -2.075926, -0.772202
-1.725353, 9.162822, -0.315363, 0.745274
-8.291657, 3.002119, -0.393989, 0.353787
-1.257257, 1.853627, -0.771632, 0.543717
-4.632382, -3.108524, -0.581405, 0.491375
0.016358, 2.137640, -0.969252, 0.995905
0.833059, 7.075648, -0.963221, 0.812145
12.682346, 0.687529, 1.642796, -0.436746
-5.723941, -11.638413, -0.568189, -1.510553
-4.512453, 2.191158, -1.065772, 0.557236
10.728330, -2.991143, 1.091251, -1.123559
1.040481, -8.604173, 0.729659, -1.252911
-1.829011, 9.960043, 0.575791, 1.052039
-0.963624, 9.140331, 0.054210, 1.074525
5.870472, -7.240218, 1.292824, -0.714411
-8.156446, 1.284662, -0.609186, -0.657453
5.573600, -8.140791, 0.080174, -0.794195
-7.075543, -7.977243, -0.574992, -1.161562
-8.722366, 7.618487, -0.730471, 0.333231
-9.140193, 3.456498, -1.146766, -0.324790
10.014135, 7.258032, 1.272330, 1.049919
4.514388, -2.573715, -0.370592, -0.311263
2.406338, -3.161521, -0.192180, 0.109215
1.638858, 6.415408, 0.338409, 0.402587
-5.664726, 2.078794, -0.067693, -0.177996
3.926731, -3.621283, 0.350919, -0.214836
0.185778, 3.346145, -0.142078, 0.034896
6.037869, -7.755327, 0.044824, -0.428956
7.006952, -0.494518, 0.609785, -0.291783
0.496284, -5.399292, 1.031964, 0.047696
11.613124, 3.196912, 1.197162, -0.515195
-5.869551, -1.195674, 0.083667, 0.477675
-6.033191, 2.062108, -0.416429, 0.641706
-7.654397, -6.186725, -1.234968, -0.629163
0.666188, 5.759873, -0.045134, -0.084087
-3.636021, 9.798685, -0.125611, 0.722165
-9.093463, -9.821214, -0.624425, -0.932998
-1.260236, 1.253304, 0.073971, -0.915030
-4.082054, 6.718404, 0.221036, 1.108089
7.016342, 7.202441, 1.008765, 0.211484
-8.933481, -0.898185, -0.636626, 0.360207
6.869594, 3.168622, 0.194253, -0.048720
9.739971, 5.948707, 1.392440, 0.605938
4.655640, -2.991805, 0.819946, 0.464054
-11.521618, -1.096232, -1.439439, 0.621727
4.614095, -2.645434, 1.999429, -0.426207
-15.976816, 11.591608, -1.993245, 2.316441
4.624712, 0.906795, -0.280308, 0.092062
7.072503, -7.795130, 1.293676, -0.775293
3.869277, -10.972134, 0.553765, -0.941193
3.155881, -2.035678, -0.369780, -0.406833
-0.765011, -0.320431, -0.546495, -0.095184
-4.555950, 1.240130, -0.390168, -0.017833
2.389427, 7.433762, 0.190564, 0.654810
-2.346934, 0.988685, -0.820494, -0.103330
