rx, ry, vx, vy
14.853538, -4.701764, 2.122134, -0.671915
0.390568, 6.856697, -0.043919, 0.730704
4.711358, 0.502306, 0.498988, 0.501467
-7.408739, 1.927723, -0.848275, -0.357469
2.758195, -12.198532, 0.098991, -1.141810
7.702302, 13.847045, 0.430796, 2.756693
1.000407, 8.873639, 0.650460, 0.993379
-10.276493, 12.722165, -1.279372, 1.417047
10.750070, 5.339539, 0.650634, 0.240188
-7.155327, -5.690015, -0.788743, -0.630100
-1.286229, -11.074849, 0.680366, -0.690686
-9.808177, -0.231362, -0.546015, -0.582688
3.132753, -11.060369, 0.868027, -0.776483
-6.081445, 5.818048, -1.369607, 0.092247
-9.466845, 2.457483, -1.050385, -0.148958
-11.451557, -3.547074, -1.544258, -0.264566
0.936531, 9.845164, 0.476974, 1.075178
21.129407, -28.991847, 2.496415, -3.361127
-3.308154, 6.863786, -0.542974, 1.218920
-4.016947, 2.494435, -1.135046, 0.570962
4.217787, -10.629974, 0.268625, -0.718714
5.053349, -0.720729, 0.657950, -0.309233
2.365189, 2.807697, 0.223322, 0.544736
-5.353023, -10.662108, -0.274962, -1.095090
7.818748, -0.162608, 1.618095, -0.208304
-11.223858, -4.495903, -2.075926, -0.772202
-2.356079, 10.653371, -0.315363, 0.745274
-9.079636, 3.709693, -0.393989, 0.353787
-2.800522, 2.941062, -0.771632, 0.543717
-5.795193, -2.125774, -0.581405, 0.491375
-1.922147, 4.129449, -0.969252, 0.995905
-1.093383, 8.699938, -0.963221, 0.812145
15.967937, -0.185963, 1.642796, -0.436746
-6.860319, -14.659518, -0.568189, -1.510553
-6.643997, 3.305629, -1.065772, 0.557236
12.910833, -5.238260, 1.091251, -1.123559
2.499798, -11.109996, 0.729659, -1.252911
-0.875465, 12.247269, 0.545172, 0.794882
-0.657169, 11.106232, 0.084829, 1.331681
8.456120, -8.669040, 1.292824, -0.714411
-9.374817, -0.030244, -0.609186, -0.657453
5.733949, -9.729182, 0.080174, -0.794195
-8.225526, -10.300366, -0.574992, -1.161562
-10.183308, 8.284948, -0.730471, 0.333231
-11.433726, 2.806918, -1.146766, -0.324790
12.558794, 9.357870, 1.272330, 1.049919
3.511876, -3.211497, -0.895287, -0.277341
2.283306, -2.927835, 0.332516, 0.075293
2.315677, 7.220583, 0.338409, 0.402587
-5.800112, 1.722801, -0.067693, -0.177996
4.628569, -4.050955, 0.350919, -0.214836
-0.098377, 3.415936, -0.142078, 0.034896
6.127517, -8.613238, 0.044824, -0.428956
8.226523, -1.078084, 0.609785, -0.291783
2.560212, -5.303899, 1.031964, 0.047696
14.007448, 2.166522, 1.197162, -0.515195
-5.702217, -0.240324, 0.083667, 0.477675
-6.866049, 3.345520, -0.416429, 0.641706
-10.124333, -7.445052, -1.234968, -0.629163
0.575920, 5.591700, -0.045134, -0.084087
-3.887243, 11.243015, -0.125611, 0.722165
-10.342312, -11.687211, -0.624425, -0.932998
-1.112294, -0.576755, 0.073971, -0.915030
-3.639981, 8.934582, 0.221036, 1.108089
9.033872, 7.625410, 1.008765, 0.211484
-10.206734, -0.177772, -0.636626, 0.360207
7.258099, 3.071182, 0.194253, -0.048720
12.524851, 7.160583, 1.392440, 0.605938
6.295532, -2.063696, 0.819946, 0.464054
-14.400497, 0.147222, -1.439439, 0.621727
8.612954, -3.497849, 1.999429, -0.426207
-19.963306, 16.224491, -1.993245, 2.316441
4.064096, 1.090919, -0.280308, 0.092062
9.659854, -9.345717, 1.293676, -0.775293
4.976806, -12.854521, 0.553765, -0.941193
2.416322, -2.849344, -0.369780, -0.406833
-1.858002, -0.510799, -0.546495, -0.095184
-5.336286, 1.204464, -0.390168, -0.017833
2.770555, 8.743382, 0.190564, 0.654810
-3.987923, 0.782024, -0.820494, -0.103330
