Ra, Rb
0.391929, 0.098986
0.393282, 0.099157
0.394634, 0.099327
0.395987, 0.099497
0.397339, 0.099667
0.398691, 0.099836
0.400044, 0.100005
0.401396, 0.100174
0.402748, 0.100343
0.404100, 0.100511
0.405453, 0.100679
0.406805, 0.100847
0.408157, 0.101014
0.409509, 0.101182
0.410861, 0.101349
0.412213, 0.101515
0.413565, 0.101682
0.414917, 0.101848
0.416269, 0.102013
0.417621, 0.102179
0.418973, 0.102344
0.420325, 0.102509
0.421677, 0.102674
0.423029, 0.102838
0.424381, 0.103003
0.425733, 0.103166
0.427085, 0.103330
0.428436, 0.103494
0.429788, 0.103657
0.431140, 0.103820
0.432492, 0.103982
0.433843, 0.104145
0.435195, 0.104307
0.436546, 0.104468
0.437898, 0.104630
0.439250, 0.104791
0.440601, 0.104953
0.441953, 0.105113
0.443304, 0.105274
0.444656, 0.105434
0.446007, 0.105594
0.447359, 0.105754
0.448710, 0.105914
0.450061, 0.106073
0.451413, 0.106232
0.452764, 0.106391
0.454115, 0.106550
0.455467, 0.106708
0.456818, 0.106866
0.458169, 0.107024
0.459520, 0.107182
0.460871, 0.107340
0.462223, 0.107497
0.463574, 0.107654
0.464925, 0.107811
0.466276, 0.107967
0.467627, 0.108123
0.468978, 0.108280
0.470329, 0.108435
0.471680, 0.108591
0.473031, 0.108746
0.474382, 0.108902
0.475733, 0.109057
0.477084, 0.109211
0.478435, 0.109366
0.479785, 0.109520
0.481136, 0.109674
0.482487, 0.109828
0.483838, 0.109982
0.485189, 0.110135
0.486539, 0.110288
0.487890, 0.110441
0.489241, 0.110594
0.490591, 0.110746
0.491942, 0.110899
0.493293, 0.111051
0.494643, 0.111203
0.495994, 0.111355
0.497344, 0.111506
0.498695, 0.111657
0.500045, 0.111808
0.501396, 0.111959
0.502746, 0.112110
0.504097, 0.112260
0.505447, 0.112411
0.506797, 0.112561
0.508148, 0.112711
0.509498, 0.112860
0.510848, 0.113010
0.512199, 0.113159
0.513549, 0.113308
0.514899, 0.113457
0.516250, 0.113606
0.517600, 0.113754
0.518950, 0.113902
0.520300, 0.114050
0.521650, 0.114198
0.523000, 0.114346
0.524351, 0.114494
0.525701, 0.114641
0.527051, 0.114788
0.528401, 0.114935
0.529751, 0.115082
0.531101, 0.115228
0.532451, 0.115374
0.533801, 0.115521
0.535151, 0.115667
0.536501, 0.115812
0.537851, 0.115958
0.539200, 0.116103
0.540550, 0.116249
0.541900, 0.116394
0.543250, 0.116539
0.544600, 0.116683
0.545950, 0.116828
0.547300, 0.116972
0.548649, 0.117116
0.549999, 0.117260
0.551349, 0.117404
0.552698, 0.117548
0.554048, 0.117691
0.555398, 0.117834
0.556748, 0.117977
0.558097, 0.118120
0.559447, 0.118263
0.560796, 0.118406
0.562146, 0.118548
0.563496, 0.118690
0.564845, 0.118832
0.566195, 0.118974
0.567544, 0.119116
0.568894, 0.119257
0.570243, 0.119399
0.571593, 0.119540
0.572942, 0.119681
0.574292, 0.119822
0.575641, 0.119963
0.576991, 0.120103
0.578340, 0.120244
0.579689, 0.120384
0.581039, 0.120524
0.582388, 0.120664
0.583737, 0.120803
0.585087, 0.120943
0.586436, 0.121082
0.587785, 0.121221
0.589135, 0.121360
0.590484, 0.121499
0.591833, 0.121638
0.593183, 0.121777
0.594532, 0.121915
0.595881, 0.122053
0.597230, 0.122191
0.598579, 0.122329
0.599929, 0.122467
0.601278, 0.122605
0.602627, 0.122742
0.603976, 0.122880
0.605325, 0.123017
0.606674, 0.123154
0.608023, 0.123291
0.609372, 0.123427
0.610722, 0.123564
0.612071, 0.123700
0.613420, 0.123837
0.614769, 0.123973
0.616118, 0.124109
0.617467, 0.124244
0.618816, 0.124380
0.620165, 0.124516
0.621514, 0.124651
0.622863, 0.124786
0.624212, 0.124921
0.625561, 0.125056
0.626910, 0.125191
0.628259, 0.125325
0.629608, 0.125460
0.630956, 0.125594
0.632305, 0.125728
0.633654, 0.125862
0.635003, 0.125996
0.636352, 0.126130
0.637701, 0.126264
0.639050, 0.126397
0.640399, 0.126530
0.641747, 0.126664
0.643096, 0.126797
0.644445, 0.126930
0.645794, 0.127062
0.647143, 0.127195
0.648492, 0.127327
0.649840, 0.127460
0.651189, 0.127592
0.652538, 0.127724
0.653887, 0.127856
0.655235, 0.127988
0.656584, 0.128119
0.657933, 0.128251
0.659282, 0.128382
0.660630, 0.128514
0.661979, 0.128645
0.663328, 0.128776
0.664676, 0.128907
0.666025, 0.129037
0.667374, 0.129168
0.668723, 0.129298
0.670071, 0.129429
0.671420, 0.129559
0.672769, 0.129689
0.674117, 0.129819
0.675466, 0.129949
0.676815, 0.130078
0.678163, 0.130208
0.679512, 0.130337
0.680860, 0.130467
0.682209, 0.130596
0.683558, 0.130725
0.684906, 0.130854
0.686255, 0.130982
0.687604, 0.131111
0.688952, 0.131239
0.690301, 0.131368
0.691649, 0.131496
0.692998, 0.131624
0.694346, 0.131752
0.695695, 0.131880
0.697044, 0.132008
0.698392, 0.132136
0.699741, 0.132263
0.701089, 0.132390
0.702438, 0.132518
0.703787, 0.132645
0.705135, 0.132772
0.706484, 0.132899
0.707832, 0.133026
0.709181, 0.133152
0.710529, 0.133279
0.711878, 0.133405
0.713227, 0.133532
0.714575, 0.133658
0.715924, 0.133784
0.717272, 0.133910
0.718621, 0.134036
0.719969, 0.134161
0.721318, 0.134287
0.722667, 0.134412
0.724015, 0.134538
0.725364, 0.134663
0.726713, 0.134788
0.728061, 0.134913
0.729410, 0.135038
0.730758, 0.135163
0.732107, 0.135287
0.733456, 0.135412
0.734804, 0.135536
0.736153, 0.135661
0.737502, 0.135785
0.738851, 0.135909
0.740199, 0.136033
0.741548, 0.136157
0.742897, 0.136281
0.744246, 0.136404
0.745594, 0.136528
0.746943, 0.136651
0.748292, 0.136775
0.749641, 0.136898
0.750990, 0.137021
0.752339, 0.137144
0.753688, 0.137267
0.755037, 0.137390
0.756386, 0.137512
0.757735, 0.137635
0.759084, 0.137757
0.760433, 0.137880
0.761783, 0.138002
0.763132, 0.138124
0.764481, 0.138246
0.765830, 0.138368
0.767180, 0.138490
0.768529, 0.138612
0.769879, 0.138733
0.771229, 0.138855
0.772578, 0.138976
0.773928, 0.139098
0.775278, 0.139219
0.776628, 0.139340
0.777978, 0.139461
0.779328, 0.139582
0.780679, 0.139703
0.782029, 0.139824
0.783379, 0.139945
0.784730, 0.140065
0.786081, 0.140186
0.787432, 0.140306
0.788783, 0.140426
0.790134, 0.140547
0.791485, 0.140667
0.792837, 0.140787
0.794188, 0.140907
0.795540, 0.141027
0.796892, 0.141146
0.798245, 0.141266
0.799597, 0.141386
0.800950, 0.141505
0.802303, 0.141625
0.803656, 0.141744
0.805009, 0.141863
0.806363, 0.141983
0.807717, 0.142102
0.809071, 0.142221
0.810426, 0.142340
0.811781, 0.142459
0.813136, 0.142578
0.814492, 0.142696
0.815848, 0.142815
0.817204, 0.142934
0.818560, 0.143052
0.819918, 0.143171
0.821275, 0.143289
0.822633, 0.143408
0.823991, 0.143526
0.825350, 0.143645
0.826709, 0.143763
0.828069, 0.143881
0.829429, 0.143999
0.830790, 0.144117
0.832151, 0.144235
0.833513, 0.144353
0.834875, 0.144471
0.836238, 0.144589
0.837601, 0.144707
0.838965, 0.144824
0.840330, 0.144942
0.841695, 0.145060
0.843061, 0.145178
0.844427, 0.145295
0.845794, 0.145413
0.847162, 0.145530
0.848530, 0.145648
0.849899, 0.145765
0.851269, 0.145883
0.852639, 0.146000
0.854010, 0.146117
0.855381, 0.146235
0.856753, 0.146352
0.858126, 0.146469
0.859500, 0.146586
0.860874, 0.146703
0.862248, 0.146820
0.863624, 0.146937
0.865000, 0.147054
0.866376, 0.147171
0.867754, 0.147288
0.869132, 0.147405
0.870510, 0.147522
0.871889, 0.147639
0.873269, 0.147756
0.874649, 0.147872
0.876030, 0.147989
0.877412, 0.148106
0.878794, 0.148222
0.880176, 0.148339
0.881560, 0.148455
0.882943, 0.148572
0.884328, 0.148688
0.885712, 0.148805
0.887098, 0.148921
0.888484, 0.149037
0.889870, 0.149153
0.891257, 0.149270
0.892644, 0.149386
0.894032, 0.149502
0.895420, 0.149618
0.896808, 0.149734
0.898197, 0.149850
0.899587, 0.149966
0.900977, 0.150081
0.902367, 0.150197
0.903758, 0.150313
0.905149, 0.150428
0.906540, 0.150544
0.907932, 0.150660
0.909324, 0.150775
0.910716, 0.150890
0.912109, 0.151006
0.913502, 0.151121
0.914896, 0.151236
0.916289, 0.151351
0.917684, 0.151466
0.919078, 0.151581
0.920473, 0.151696
0.921867, 0.151811
0.923263, 0.151926
0.924658, 0.152041
0.926054, 0.152156
0.927450, 0.152270
0.928846, 0.152385
0.930243, 0.152499
0.931640, 0.152614
0.933037, 0.152728
0.934434, 0.152843
0.935831, 0.152957
0.937229, 0.153071
0.938627, 0.153185
0.940025, 0.153299
0.941423, 0.153413
0.942822, 0.153527
0.944220, 0.153641
0.945619, 0.153755
0.947018, 0.153868
0.948418, 0.153982
0.949817, 0.154096
0.951217, 0.154209
0.952617, 0.154322
0.954017, 0.154436
0.955417, 0.154549
0.956817, 0.154662
0.958218, 0.154775
0.959619, 0.154889
0.961019, 0.155002
0.962420, 0.155115
0.963822, 0.155227
0.965223, 0.155340
0.966624, 0.155453
0.968026, 0.155566
0.969428, 0.155678
0.970830, 0.155791
0.972232, 0.155903
0.973634, 0.156016
0.975036, 0.156128
0.976439, 0.156240
0.977842, 0.156352
0.979244, 0.156464
0.980647, 0.156576
0.982050, 0.156688
0.983453, 0.156800
0.984857, 0.156912
0.986260, 0.157024
0.987664, 0.157136
0.989068, 0.157247
0.990471, 0.157359
0.991875, 0.157470
0.993279, 0.157582
0.994684, 0.157693
0.996088, 0.157804
0.997492, 0.157916
0.998897, 0.158027
1.000302, 0.158138
1.001707, 0.158249
1.003112, 0.158360
1.004517, 0.158471
1.005922, 0.158581
1.007327, 0.158692
1.008733, 0.158803
1.010138, 0.158913
1.011544, 0.159024
1.012949, 0.159134
1.014355, 0.159245
1.015761, 0.159355
1.017168, 0.159465
1.018574, 0.159576
1.019980, 0.159686
1.021387, 0.159796
1.022793, 0.159906
1.024200, 0.160016
1.025607, 0.160125
1.027014, 0.160235
1.028421, 0.160345
1.029828, 0.160455
1.031235, 0.160564
1.032642, 0.160674
1.034050, 0.160783
1.035457, 0.160893
1.036865, 0.161002
1.038273, 0.161111
1.039681, 0.161220
1.041089, 0.161330
1.042497, 0.161439
1.043905, 0.161548
1.045314, 0.161657
1.046722, 0.161765
1.048131, 0.161874
1.049540, 0.161983
1.050948, 0.162092
1.052357, 0.162200
1.053766, 0.162309
1.055175, 0.162417
1.056585, 0.162526
1.057994, 0.162634
1.059403, 0.162742
1.060813, 0.162851
1.062223, 0.162959
1.063632, 0.163067
1.065042, 0.163175
1.066452, 0.163283
1.067862, 0.163391
1.069273, 0.163499
1.070683, 0.163606
1.072093, 0.163714
1.073504, 0.163822
1.074915, 0.163929
1.076325, 0.164037
1.077736, 0.164144
1.079147, 0.164252
1.080558, 0.164359
1.081970, 0.164467
1.083381, 0.164574
1.084792, 0.164681
1.086204, 0.164788
1.087615, 0.164895
1.089027, 0.165002
1.090439, 0.165109
1.091851, 0.165216
1.093263, 0.165323
1.094675, 0.165429
1.096087, 0.165536
1.097500, 0.165643
1.098912, 0.165749
1.100325, 0.165856
1.101737, 0.165962
1.103150, 0.166069
1.104563, 0.166175
1.105976, 0.166281
1.107389, 0.166387
1.108803, 0.166493
1.110216, 0.166600
1.111629, 0.166706
1.113043, 0.166811
1.114457, 0.166917
1.115870, 0.167023
1.117284, 0.167129
1.118698, 0.167235
1.120112, 0.167340
1.121526, 0.167446
1.122941, 0.167552
1.124355, 0.167657
1.125770, 0.167762
1.127184, 0.167868
1.128599, 0.167973
1.130014, 0.168078
1.131429, 0.168184
1.132844, 0.168289
1.134259, 0.168394
1.135674, 0.168499
1.137090, 0.168604
1.138505, 0.168709
1.139921, 0.168814
1.141337, 0.168918
1.142752, 0.169023
1.144168, 0.169128
1.145584, 0.169232
1.147000, 0.169337
1.148417, 0.169441
1.149833, 0.169546
1.151250, 0.169650
1.152666, 0.169755
1.154083, 0.169859
1.155500, 0.169963
1.156917, 0.170067
1.158334, 0.170171
1.159751, 0.170276
1.161168, 0.170380
1.162585, 0.170484
1.164003, 0.170587
1.165420, 0.170691
1.166838, 0.170795
1.168256, 0.170899
1.169674, 0.171002
1.171091, 0.171106
1.172510, 0.171210
1.173928, 0.171313
1.175346, 0.171417
1.176765, 0.171520
1.178183, 0.171623
1.179602, 0.171727
1.181020, 0.171830
1.182439, 0.171933
1.183858, 0.172036
1.185277, 0.172139
1.186697, 0.172242
1.188116, 0.172345
1.189535, 0.172448
1.190955, 0.172551
1.192374, 0.172654
1.193794, 0.172757
1.195214, 0.172859
1.196634, 0.172962
1.198054, 0.173065
1.199474, 0.173167
1.200895, 0.173270
1.202315, 0.173372
1.203736, 0.173474
1.205156, 0.173577
1.206577, 0.173679
1.207998, 0.173781
1.209419, 0.173883
1.210840, 0.173986
1.212261, 0.174088
1.213682, 0.174190
1.215104, 0.174292
1.216525, 0.174394
1.217947, 0.174495
1.219368, 0.174597
1.220790, 0.174699
1.222212, 0.174801
1.223634, 0.174902
1.225057, 0.175004
1.226479, 0.175106
1.227901, 0.175207
1.229324, 0.175309
1.230746, 0.175410
1.232169, 0.175511
1.233592, 0.175613
