rx, ry, vx, vy
3.214775, -1.809714, 1.891976, -0.836710
4.028403, -1.138011, -1.207762, 0.426883
5.096948, 2.163262, 0.809452, 0.722294
9.016873, -12.877406, 0.342299, 0.682609
2.891634, -11.546309, -2.003882, 0.616056
-4.336158, 6.956371, 1.188906, -1.362766
9.970449, 7.258687, 0.115974, -1.072026
-0.052997, 12.157129, -1.804678, 0.184111
-11.701551, 0.892959, -0.307841, 0.236804
6.385970, -11.749146, 0.240294, 1.720222
-1.146500, -13.013897, -0.955078, 0.158344
-13.483837, -12.182739, 0.340869, 0.797459
-1.670550, 0.413324, -0.769544, -1.393467
-12.207372, 2.850479, -0.417544, 0.322518
-13.318282, 3.791214, 0.306258, -2.042498
2.404078, 0.099330, -0.303279, -2.600797
-10.779328, -7.451790, 0.082200, 0.255222
10.427432, -8.588950, -0.096803, -0.026261
-7.141124, 12.297243, 1.148127, -0.923680
-5.434453, -2.514739, 0.174656, 0.655910
11.301384, -8.451650, 0.196467, 0.974778
-6.908127, -6.547298, 0.537638, 0.605432
-11.997324, 8.393802, 0.072714, -0.319061
-11.080037, -5.061311, 0.802626, 0.207476
-2.833462, 5.555015, 0.684671, 1.500443
7.220664, 5.684130, -0.077148, 0.467218
4.341905, -7.945875, 0.096748, 0.492372
1.852637, -6.713222, -0.938562, 0.384018
-12.350330, -3.231633, -0.652156, -0.266968
3.942413, -5.009817, 1.753539, 0.276338
-13.937833, -2.014140, -0.639957, -0.943453
-13.690282, 4.023597, 0.411703, -1.618054
1.966229, -4.237961, 0.853700, 2.267862
9.389715, -2.961178, -1.908930, 0.419800
-4.810325, 7.937676, -0.350933, 0.202178
4.818961, -12.724073, 1.526211, 0.731381
4.618515, -1.251571, -0.090537, -1.927524
13.917614, 10.203540, 0.144418, 0.338943
-6.130236, -12.055113, -1.376826, -1.052148
-0.236807, 8.998466, 0.180011, 0.738741
-0.527746, 13.563789, 0.820394, 0.843560
9.719758, -11.618860, -0.527772, 0.344589
5.994780, 6.379484, -0.265178, -0.338199
-3.722013, -8.342936, 0.146299, -0.864393
3.694817, -8.185428, 0.276944, 1.293588
11.711359, 12.919609, 0.795223, 1.214879
-2.000252, 8.127631, 0.272771, -0.538126
-13.828352, -13.070872, -0.777963, -1.196214
12.132294, 0.124066, -0.675179, -1.721259
-13.802349, 11.557353, 0.259148, -0.814067
-4.909494, 12.426840, 1.333364, 0.587568
-10.078042, 3.424210, -0.599228, -0.371647
-8.162921, -3.248016, -2.138143, 0.704939
6.027863, -8.480762, 0.062899, -0.957962
-7.052097, 11.762491, 0.191473, -0.858044
7.333387, 8.949276, -0.451624, -0.676666
2.403913, -8.670746, 0.071615, -0.061521
-6.852358, -1.136892, -0.446134, 0.355376
-9.720944, 10.618991, -0.710998, 0.752894
-13.385959, -13.790725, -0.339541, 0.171317
-11.977898, -0.129709, -0.815009, 0.254056
-8.485156, -11.442983, 0.058316, -1.431964
-5.053289, 7.236485, 1.957274, 0.608072
10.262250, -11.156375, 0.241707, -0.451339
-4.539661, 13.564456, -0.050150, -0.577071
10.789231, -3.352360, -0.322036, 1.006828
-8.750485, -1.615290, 0.286572, 0.026464
-9.709542, 10.122466, 1.070673, 1.456384
5.461708, 9.692326, 1.098366, 0.078672
-8.384699, -0.338772, -0.665699, 0.977645
3.382997, -3.358184, -0.075868, -0.694624
9.341176, 8.826635, 0.317229, 0.515770
3.278133, -12.177886, -0.287886, 0.340539
-3.677034, -10.016527, 0.029922, 1.192829
-0.231699, 11.276471, 0.200240, -0.219798
4.882515, 2.677434, -1.008013, -0.198357
5.750987, 6.302038, -0.129612, -1.335608
3.551939, 4.167946, 0.602250, 0.009430
-8.523445, 3.605827, 0.711042, 0.020164
-3.810534, -7.825398, -0.517689, 0.551297
