rx, ry, vx, vy
2.906609, -3.424599, 0.484435, -0.570766
4.280167, 3.726596, -0.393050, 0.880308
-10.589385, -6.257437, -0.213067, -0.010039
-3.536753, 0.023727, -1.053420, 1.767224
10.888553, 3.729044, -0.463887, 0.569877
-0.526372, -21.909822, 0.075884, -2.581520
-7.065477, -3.752345, 0.285721, 0.106292
-7.083848, 19.782611, -0.027869, 1.130478
-17.961754, 1.115557, -1.103665, -0.840286
-11.987254, 5.661404, -1.456334, -0.456375
2.333516, 5.810126, 0.319196, -0.279442
-3.227870, 3.824420, 1.720703, 0.522680
13.746956, -12.660617, 0.169425, 0.129684
24.557756, 7.002245, 1.791051, 0.299503
8.424195, -5.694800, 1.179981, 0.231096
23.582984, -15.012751, 3.353312, -0.259724
4.227482, -8.999625, 0.460484, -1.366404
-8.543821, 11.194082, -0.095413, 1.149402
-13.024833, -7.570277, 0.064786, -0.499756
-7.376089, -6.099491, -0.251544, -0.145409
6.376123, 13.870650, -0.984844, 0.196404
7.177480, 5.956661, 0.410922, 0.204389
-21.011860, 19.428140, -1.687178, 1.308539
-10.217974, -12.696449, -1.021046, -0.750684
1.128668, -15.455212, -0.201936, -1.252206
-10.170662, 14.560316, 0.362647, 0.582130
-2.013240, 1.191941, -0.935130, -1.082273
-3.767659, 15.429632, 0.392317, 0.742641
6.912810, -5.842630, -0.355249, 0.279886
-17.641265, 23.359853, -0.592172, 1.759502
7.735792, 1.605253, 0.234073, 1.025104
2.895421, -13.610593, -0.586717, -0.593447
-2.899459, -7.875387, 0.467518, -1.435773
21.761312, 2.522611, 1.322090, 1.260755
-6.298857, 5.066592, -0.131355, -0.852157
11.437393, -13.609699, -0.340836, -0.749590
-0.269323, 5.179677, -1.405964, 1.049663
16.347931, -1.047242, 1.362073, -0.998338
-2.342309, -9.193708, -1.020264, -1.500621
-6.590581, 13.328347, -0.135681, 1.029252
-12.253119, 9.399851, -0.292480, 0.223260
12.441353, -8.332132, -0.013522, -0.130650
-8.680514, 3.924283, -0.203280, 0.486821
-3.613364, 11.919979, -0.211453, 0.027866
-13.478110, 4.551811, 0.083542, -0.184623
-2.568237, 0.007765, 0.359264, -0.217726
6.286822, 9.734180, 0.251228, 0.103431
9.418948, -9.432544, 0.246641, 0.078439
-1.509331, -4.662513, -0.094469, -0.215641
-7.436905, 3.002992, -0.329577, 0.034922
-4.125322, -8.448984, 0.398562, 0.042524
1.771110, 2.883897, 0.054047, -0.471135
-6.505262, -6.702056, -0.032561, 0.113900
-12.621216, -4.736608, -0.286140, 0.184094
12.309388, -11.609325, 0.010962, -0.164661
-2.326854, -11.160965, 0.426492, -0.223493
4.459808, -3.614577, -0.434285, -0.039084
2.596770, -3.774269, 0.142186, -0.042937
0.584447, -8.658582, 0.172661, 0.055095
-11.344440, 4.995317, -0.080237, 0.316451
-4.761929, -14.170215, -0.152593, -0.239726
3.482314, -11.189223, 0.343259, 0.475587
8.145489, -3.020870, -0.292442, 0.541441
-0.901518, -3.658455, 0.163185, -0.113437
-0.409959, 3.335378, -0.073898, 0.049468
-8.010705, -2.223833, 0.251275, 0.201806
4.961010, -16.361571, 0.134485, -0.620993
-13.862542, 8.275638, -0.010691, -0.165364
-7.720685, 3.135694, 0.262684, -0.153270
-12.115538, 5.211978, 0.067118, 0.269822
11.352447, 6.186219, 0.278549, -0.011902
-4.702907, -3.579229, -0.331456, -0.454769
0.174069, 12.778143, -0.259680, 0.111575
7.456528, -0.083946, -0.163456, -0.321202
3.533101, 1.919751, -0.081959, 0.174836
-13.022653, 14.088105, -0.260612, 0.104327
7.353037, 7.324185, -0.213301, -0.054777
6.042104, 8.852821, -0.002800, -0.053630
-2.643543, -1.249899, 0.058085, 0.348878
-3.288063, -11.354587, 0.116671, -0.065522
