Ra, Rb
0.402397, 0.100299
0.403784, 0.100472
0.405172, 0.100644
0.406559, 0.100817
0.407947, 0.100988
0.409334, 0.101160
0.410722, 0.101331
0.412110, 0.101502
0.413497, 0.101673
0.414885, 0.101844
0.416272, 0.102014
0.417660, 0.102184
0.419047, 0.102353
0.420435, 0.102523
0.421823, 0.102692
0.423210, 0.102860
0.424598, 0.103029
0.425985, 0.103197
0.427373, 0.103365
0.428760, 0.103533
0.430148, 0.103700
0.431536, 0.103867
0.432923, 0.104034
0.434311, 0.104201
0.435698, 0.104367
0.437086, 0.104533
0.438473, 0.104699
0.439861, 0.104864
0.441249, 0.105030
0.442636, 0.105195
0.444024, 0.105359
0.445411, 0.105524
0.446799, 0.105688
0.448186, 0.105852
0.449574, 0.106016
0.450962, 0.106179
0.452349, 0.106343
0.453737, 0.106505
0.455124, 0.106668
0.456512, 0.106831
0.457899, 0.106993
0.459287, 0.107155
0.460675, 0.107317
0.462062, 0.107478
0.463450, 0.107639
0.464837, 0.107800
0.466225, 0.107961
0.467613, 0.108122
0.469000, 0.108282
0.470388, 0.108442
0.471775, 0.108602
0.473163, 0.108762
0.474550, 0.108921
0.475938, 0.109080
0.477326, 0.109239
0.478713, 0.109398
0.480101, 0.109556
0.481488, 0.109714
0.482876, 0.109872
0.484263, 0.110030
0.485651, 0.110187
0.487039, 0.110345
0.488426, 0.110502
0.489814, 0.110659
0.491201, 0.110815
0.492589, 0.110972
0.493976, 0.111128
0.495364, 0.111284
0.496752, 0.111440
0.498139, 0.111595
0.499527, 0.111750
0.500914, 0.111906
0.502302, 0.112060
0.503689, 0.112215
0.505077, 0.112370
0.506465, 0.112524
0.507852, 0.112678
0.509240, 0.112832
0.510627, 0.112985
0.512015, 0.113139
0.513402, 0.113292
0.514790, 0.113445
0.516178, 0.113598
0.517565, 0.113750
0.518953, 0.113903
0.520340, 0.114055
0.521728, 0.114207
0.523115, 0.114359
0.524503, 0.114510
0.525891, 0.114662
0.527278, 0.114813
0.528666, 0.114964
0.530053, 0.115114
0.531441, 0.115265
0.532829, 0.115415
0.534216, 0.115566
0.535604, 0.115716
0.536991, 0.115865
0.538379, 0.116015
0.539766, 0.116164
0.541154, 0.116314
0.542542, 0.116463
0.543929, 0.116611
0.545317, 0.116760
0.546704, 0.116909
0.548092, 0.117057
0.549479, 0.117205
0.550867, 0.117353
0.552255, 0.117500
0.553642, 0.117648
0.555030, 0.117795
0.556417, 0.117942
0.557805, 0.118089
0.559192, 0.118236
0.560580, 0.118383
0.561968, 0.118529
0.563355, 0.118676
0.564743, 0.118822
0.566130, 0.118967
0.567518, 0.119113
0.568905, 0.119259
0.570293, 0.119404
0.571681, 0.119549
0.573068, 0.119694
0.574456, 0.119839
0.575843, 0.119984
0.577231, 0.120128
0.578618, 0.120272
0.580006, 0.120417
0.581394, 0.120561
0.582781, 0.120704
0.584169, 0.120848
0.585556, 0.120991
0.586944, 0.121135
0.588331, 0.121278
0.589719, 0.121421
0.591107, 0.121563
0.592494, 0.121706
0.593882, 0.121848
0.595269, 0.121991
0.596657, 0.122133
0.598044, 0.122275
0.599432, 0.122417
0.600820, 0.122558
0.602207, 0.122700
0.603595, 0.122841
0.604982, 0.122982
0.606370, 0.123123
0.607758, 0.123264
0.609145, 0.123404
0.610533, 0.123545
0.611920, 0.123685
0.613308, 0.123825
0.614695, 0.123965
0.616083, 0.124105
0.617471, 0.124245
0.618858, 0.124384
0.620246, 0.124524
0.621633, 0.124663
0.623021, 0.124802
0.624408, 0.124941
0.625796, 0.125080
0.627184, 0.125218
0.628571, 0.125357
0.629959, 0.125495
0.631346, 0.125633
0.632734, 0.125771
0.634121, 0.125909
0.635509, 0.126047
0.636897, 0.126184
0.638284, 0.126321
0.639672, 0.126459
0.641059, 0.126596
0.642447, 0.126733
0.643834, 0.126869
0.645222, 0.127006
0.646610, 0.127143
0.647997, 0.127279
0.649385, 0.127415
0.650772, 0.127551
0.652160, 0.127687
0.653547, 0.127823
0.654935, 0.127958
0.656323, 0.128094
0.657710, 0.128229
0.659098, 0.128364
0.660485, 0.128500
0.661873, 0.128634
0.663260, 0.128769
0.664648, 0.128904
0.666036, 0.129038
0.667423, 0.129173
0.668811, 0.129307
0.670198, 0.129441
0.671586, 0.129575
0.672973, 0.129709
0.674361, 0.129842
0.675749, 0.129976
0.677136, 0.130109
0.678524, 0.130242
0.679911, 0.130376
0.681299, 0.130509
0.682687, 0.130641
0.684074, 0.130774
0.685462, 0.130907
0.686849, 0.131039
0.688237, 0.131171
0.689624, 0.131304
0.691012, 0.131436
0.692400, 0.131567
0.693787, 0.131699
0.695175, 0.131831
0.696562, 0.131962
0.697950, 0.132094
0.699337, 0.132225
0.700725, 0.132356
0.702113, 0.132487
0.703500, 0.132618
0.704888, 0.132749
0.706275, 0.132879
0.707663, 0.133010
0.709050, 0.133140
0.710438, 0.133270
0.711826, 0.133400
0.713213, 0.133530
0.714601, 0.133660
0.715988, 0.133790
0.717376, 0.133919
0.718763, 0.134049
0.720151, 0.134178
0.721539, 0.134307
0.722926, 0.134436
0.724314, 0.134565
0.725701, 0.134694
0.727089, 0.134823
0.728476, 0.134952
0.729864, 0.135080
0.731252, 0.135208
0.732639, 0.135337
0.734027, 0.135465
0.735414, 0.135593
0.736802, 0.135720
0.738189, 0.135848
0.739577, 0.135976
0.740965, 0.136103
0.742352, 0.136231
0.743740, 0.136358
0.745127, 0.136485
0.746515, 0.136612
0.747903, 0.136739
0.749290, 0.136866
0.750678, 0.136992
0.752065, 0.137119
0.753453, 0.137245
0.754840, 0.137372
0.756228, 0.137498
0.757616, 0.137624
0.759003, 0.137750
0.760391, 0.137876
0.761778, 0.138002
0.763166, 0.138127
0.764553, 0.138253
0.765941, 0.138378
0.767329, 0.138503
0.768716, 0.138629
0.770104, 0.138754
0.771491, 0.138879
0.772879, 0.139003
0.774266, 0.139128
0.775654, 0.139253
0.777042, 0.139377
0.778429, 0.139502
0.779817, 0.139626
0.781204, 0.139750
0.782592, 0.139874
0.783979, 0.139998
0.785367, 0.140122
0.786755, 0.140246
0.788142, 0.140369
0.789530, 0.140493
0.790917, 0.140616
0.792305, 0.140740
0.793692, 0.140863
0.795080, 0.140986
0.796468, 0.141109
0.797855, 0.141232
0.799243, 0.141354
0.800630, 0.141477
0.802018, 0.141600
0.803405, 0.141722
0.804793, 0.141844
0.806181, 0.141967
0.807568, 0.142089
0.808956, 0.142211
0.810343, 0.142333
0.811731, 0.142454
0.813118, 0.142576
0.814506, 0.142698
0.815894, 0.142819
0.817281, 0.142941
0.818669, 0.143062
0.820056, 0.143183
0.821444, 0.143304
0.822832, 0.143425
0.824219, 0.143546
0.825607, 0.143667
0.826994, 0.143788
0.828382, 0.143908
0.829769, 0.144029
0.831157, 0.144149
0.832545, 0.144269
0.833932, 0.144389
0.835320, 0.144509
0.836707, 0.144629
0.838095, 0.144749
0.839482, 0.144869
0.840870, 0.144989
0.842258, 0.145108
0.843645, 0.145228
0.845033, 0.145347
0.846420, 0.145467
0.847808, 0.145586
0.849195, 0.145705
0.850583, 0.145824
0.851971, 0.145943
0.853358, 0.146061
0.854746, 0.146180
0.856133, 0.146299
0.857521, 0.146417
0.858908, 0.146536
0.860296, 0.146654
0.861684, 0.146772
