rx, ry, vx, vy
2.422174, -2.853832, 0.484435, -0.570766
4.673217, 2.846287, -0.393050, 0.880308
-10.376318, -6.247398, -0.213067, -0.010039
-2.483333, -1.743496, -1.053420, 1.767224
11.352440, 3.159167, -0.463887, 0.569877
-0.602256, -19.328302, 0.075884, -2.581520
-7.351198, -3.858637, 0.285721, 0.106292
-7.055978, 18.652133, -0.027869, 1.130478
-16.858089, 1.955843, -1.103665, -0.840286
-10.530920, 6.117779, -1.456334, -0.456375
2.014319, 6.089568, 0.319196, -0.279442
-4.948573, 3.301740, 1.720703, 0.522680
13.577531, -12.790301, 0.169425, 0.129684
22.766704, 6.702742, 1.791051, 0.299503
7.244214, -5.925896, 1.179981, 0.231096
20.229672, -14.753026, 3.353312, -0.259724
3.766997, -7.633221, 0.460484, -1.366404
-8.448408, 10.044680, -0.095413, 1.149402
-13.089620, -7.070522, 0.064786, -0.499756
-7.124545, -5.954082, -0.251544, -0.145409
7.360967, 13.674246, -0.984844, 0.196404
6.766558, 5.752272, 0.410922, 0.204389
-19.324683, 18.119601, -1.687178, 1.308539
-9.196928, -11.945766, -1.021046, -0.750684
1.330604, -14.203006, -0.201936, -1.252206
-10.533309, 13.978186, 0.362647, 0.582130
-1.078110, 2.274214, -0.935130, -1.082273
-4.159976, 14.686991, 0.392317, 0.742641
7.268058, -6.122515, -0.355249, 0.279886
-17.049093, 21.600351, -0.592172, 1.759502
7.501719, 0.580149, 0.234073, 1.025104
3.482138, -13.017147, -0.586717, -0.593447
-3.366977, -6.439613, 0.467518, -1.435773
20.439222, 1.261855, 1.322090, 1.260755
-6.167502, 5.918749, -0.131355, -0.852157
11.778228, -12.860109, -0.340836, -0.749590
1.136641, 4.130014, -1.405964, 1.049663
14.985858, -0.048904, 1.362073, -0.998338
-1.322045, -7.693086, -1.020264, -1.500621
-6.454900, 12.299096, -0.135681, 1.029252
-11.960639, 9.176591, -0.292480, 0.223260
12.454875, -8.201482, -0.013522, -0.130650
-8.477234, 3.437462, -0.203280, 0.486821
-3.401911, 11.892113, -0.211453, 0.027866
-13.561652, 4.736433, 0.083542, -0.184623
-2.927501, 0.225491, 0.359264, -0.217726
6.035594, 9.630749, 0.251228, 0.103431
9.172307, -9.510984, 0.246641, 0.078439
-1.414861, -4.446871, -0.094469, -0.215641
-7.107329, 2.968070, -0.329577, 0.034922
-4.523883, -8.491508, 0.398562, 0.042524
1.717063, 3.355032, 0.054047, -0.471135
-6.472701, -6.815956, -0.032561, 0.113900
-12.335076, -4.920702, -0.286140, 0.184094
12.298427, -11.444664, 0.010962, -0.164661
-2.753345, -10.937472, 0.426492, -0.223493
4.889997, -3.575818, -0.427936, -0.038595
2.458679, -3.731007, 0.135837, -0.043426
0.411787, -8.713677, 0.172661, 0.055095
-11.264203, 4.678867, -0.080237, 0.316451
-4.609336, -13.930489, -0.152593, -0.239726
3.139055, -11.664811, 0.343259, 0.475587
8.437931, -3.562311, -0.292442, 0.541441
-1.064704, -3.545017, 0.163185, -0.113437
-0.336060, 3.285911, -0.073898, 0.049468
-8.261979, -2.425640, 0.251275, 0.201806
4.826525, -15.740578, 0.134485, -0.620993
-13.851850, 8.441002, -0.010691, -0.165364
-7.983369, 3.288964, 0.262684, -0.153270
-12.182655, 4.942156, 0.067118, 0.269822
11.073898, 6.198121, 0.278549, -0.011902
-4.371451, -3.124461, -0.331456, -0.454769
0.433749, 12.666569, -0.259680, 0.111575
7.619983, 0.237256, -0.163456, -0.321202
3.615061, 1.744915, -0.081959, 0.174836
-12.762041, 13.983778, -0.260612, 0.104327
7.563831, 7.381748, -0.208571, -0.059912
6.047412, 8.903665, -0.007530, -0.048495
-2.701628, -1.598777, 0.058085, 0.348878
-3.404734, -11.289065, 0.116671, -0.065522
